Date,,Rt-1,Rt-2,Rt-7,Rt-30,Rt-91,Rt-365,,Return t+1 to t+7
1/30/2014,,0.01054466,0.000893041,0.019668043,0.030008879,-0.0247942,-0.197560029,,0.007317397
1/29/2014,,-0.009651619,-0.00371448,0.038439665,0.03583184,-0.011409276,-0.183091604,,-0.018340854
1/28/2014,,0.005937139,0.001005747,0.028136669,0.026343408,-0.016081511,-0.196666988,,-0.015893188
1/27/2014,,-0.004931392,-0.026498223,0.031137621,0.032280547,-0.015464151,-0.189531173,,-0.018069551
1/24/2014,,-0.021566831,-0.029793794,0.026206229,0.02233244,-0.021985626,-0.200068912,,-0.006105932
1/23/2014,,-0.008226962,-0.007575584,0.008877837,0.000765608,-0.048109593,-0.221903552,,-0.025600299
1/22/2014,,0.000651378,0.003587564,0.001951435,-0.009650347,-0.059653418,-0.231738494,,-0.025070297
1/21/2014,,0.002936187,-0.001302253,-0.002772846,-0.014327341,-0.054201777,-0.236466021,,-0.038174066
1/17/2014,,-0.00423844,-0.005538999,0.002719017,-0.016034743,-0.057097538,-0.235757094,,-0.031011937
1/16/2014,,-0.00130056,0.004075099,-0.00423844,-0.037201594,-0.068067675,-0.246435124,,-0.013672622
1/15/2014,,0.005375659,0.016214363,-0.00619264,-0.035316597,-0.076029293,-0.247599654,,-0.004950392
1/14/2014,,0.010838704,-0.002555676,-0.001035011,-0.036153706,-0.084522892,-0.242904214,,0.002116168
1/13/2014,,-0.01339438,-0.010675363,0.003680807,-0.025315001,-0.06640371,-0.231385291,,0.013134084
1/10/2014,,0.002719017,0.003372658,-0.00681146,-0.035290379,-0.083784074,-0.244711714,,0.005592213
1/9/2014,,0.000653641,0.000871671,-0.003928427,-0.021276843,-0.087487589,-0.249910853,,0.000815156
1/8/2014,,0.00021803,0.006340916,0.006355079,-0.017033562,-0.108162784,-0.251796041,,0.000922924
1/7/2014,,0.006122886,0.003220773,0.006573108,-0.019354538,-0.108669717,-0.248696568,,0.003536986
1/6/2014,,-0.002902113,-0.003066129,0.007974296,-0.013231652,-0.090831838,-0.239837186,,-0.004379026
1/3/2014,,-0.000164016,-0.009793881,0.005235369,-0.022843562,-0.08505165,-0.247121361,,0.000980461
1/2/2014,,-0.009629865,-0.004908167,0.005125715,-0.022896283,-0.092763796,-0.245023463,,0.003921793
12/31/2013,,0.004721698,0.004558512,-0.009575227,-0.025596112,-0.092184638,-0.279960559,,-0.0028849
12/30/2013,,-0.000163186,-0.000217548,-0.007042522,-0.020874413,-0.095347975,-0.292092433,,-0.005338345
12/27/2013,,-5.44E-05,0.005016715,-0.01253408,-0.020374865,-0.090168582,-0.281388658,,-0.002068762
12/26/2013,,0.005071077,0.00726007,-0.018388404,-0.022861521,-0.085615731,-0.280101712,,-0.004736948
12/24/2013,,0.002188993,0.007517365,-0.029089364,-0.01707117,-0.081488019,-0.270806723,,0.003484704
12/23/2013,,0.005328371,0.011128333,-0.023714815,-0.014882177,-0.076942378,-0.265531611,,0.008346869
12/20/2013,,0.005799962,0.004643589,-0.024599211,-0.022580023,-0.066975755,-0.251084636,,0.007752813
12/19/2013,,-0.001156373,0.015772038,-0.018686942,-0.013647205,-0.054159705,-0.25102051,,0.018696254
12/18/2013,,0.016928411,0.013742855,-0.01653662,-0.012627543,-0.053638805,-0.244719818,,0.011851357
12/17/2013,,-0.003185556,0.003027211,0.011686311,0.007806059,-0.048218113,-0.238858765,,0.024403563
12/16/2013,,0.006212767,0.00610046,0.012090395,0.004620503,-0.055856248,-0.253728073,,0.0174628
12/13/2013,,-0.000112307,-0.003419002,0.015764156,0.001514792,-0.05541429,-0.243792481,,0.019369726
12/12/2013,,-0.003306695,-0.014601215,0.004536919,-0.006589893,-0.057773282,-0.237754007,,0.012194266
12/11/2013,,-0.01129452,-0.01488416,0.005635357,-0.007864292,-0.05842003,-0.241548534,,0.014118372
12/10/2013,,-0.00358964,-0.001050634,-0.005547867,-0.019328087,-0.072848135,-0.259628446,,-0.010563333
12/9/2013,,0.002539006,0.013653936,-0.004807537,-0.022917728,-0.083807735,-0.263639296,,-0.008880017
12/6/2013,,0.01111493,0.006709797,0.000331535,-0.021055784,-0.090799249,-0.264124366,,-0.013983936
12/5/2013,,-0.004405133,-0.004516428,0.0121092,-0.015033629,-0.080166166,-0.256395892,,-0.01208355
12/4/2013,,-0.000111295,-0.004441265,0.007704066,-0.016266868,-0.085837505,-0.262569371,,-0.00430111
12/3/2013,,-0.00432997,-0.006930037,0.005160477,-0.019890491,-0.094187777,-0.261265757,,0.009557757
12/2/2013,,-0.002600067,-0.003262801,0.000553805,-0.024220461,-0.103029437,-0.260659207,,0.005763033
11/29/2013,,-0.000662735,0.00176956,-0.001050286,-0.026366703,-0.105629504,-0.263470338,,0.002096233
11/27/2013,,0.002432294,0.002708996,-0.014739238,-0.027369832,-0.104704682,-0.276808005,,-0.010589753
11/26/2013,,0.000276701,-0.000719274,-0.009174088,-0.026527622,-0.105817201,-0.269258057,,-0.009834171
11/25/2013,,-0.000995975,0.003994024,-0.006721351,-0.02625092,-0.089325417,-0.266856684,,-0.004325405
11/22/2013,,0.004989999,0.013026218,-0.004212135,-0.035120894,-0.08659344,-0.281385693,,-0.00022091
11/21/2013,,0.008036219,0.004903363,-0.003563675,-0.025330632,-0.084970027,-0.276395694,,0.007417753
11/20/2013,,-0.003132856,-0.005308892,-0.000504396,-0.023069049,-0.086007732,-0.270225643,,0.013045265
11/19/2013,,-0.002176035,-0.005681226,-0.01162963,-0.026259217,-0.082961343,-0.273789645,,0.008216312
11/18/2013,,-0.003505191,0.000836347,-0.011773369,-0.028435252,-0.090041267,-0.296002715,,0.007721183
11/15/2013,,0.004341538,0.009318479,-0.015447836,-0.045333199,-0.087133865,-0.304433109,,0.004315592
11/14/2013,,0.00497694,0.012969318,-0.024507219,-0.054860919,-0.079481147,-0.29839812,,0.002336309
11/13/2013,,0.007992377,0.005960081,-0.00680642,-0.0426035,-0.060419464,-0.279830433,,0.002405573
